id,issue_id,assignment_id,raised_by_supervisor_id,target_solver_id,complaint_details,complaint_image_url,created_at,updated_at
31,145,130,1,7,Switch config causing packet loss,https://ik.imagekit.io/facility/complaints/145.jpg,2026-01-05 13:27:19.000000+00,2026-01-05 13:27:19.000000+00
32,151,136,1,6,Conveyor belt misalignment returning,,2025-12-07 10:26:44.000000+00,2025-12-07 10:26:44.000000+00
33,187,172,2,10,CCTV camera misaligned again,https://ik.imagekit.io/facility/complaints/187.jpg,2025-01-28 11:37:25.000000+00,2025-01-28 11:37:25.000000+00
34,190,175,2,10,Forklift hydraulic leak persists,https://ik.imagekit.io/facility/complaints/190.jpg,2025-08-19 10:04:30.000000+00,2025-08-19 10:04:30.000000+00
35,233,218,2,10,Exhaust fan still noisy after service,https://ik.imagekit.io/facility/complaints/233.jpg,2025-09-24 17:19:49.000000+00,2025-09-24 17:19:49.000000+00
36,239,224,2,10,Network still dropping intermittently,https://ik.imagekit.io/facility/complaints/239.jpg,2025-10-07 11:29:41.000000+00,2025-10-07 11:29:41.000000+00
37,244,229,2,6,Handrail repair not to standard,https://ik.imagekit.io/facility/complaints/244.jpg,2025-11-20 18:23:26.000000+00,2025-11-20 18:23:26.000000+00
38,261,246,2,8,Chiller vibration returned worse,,2025-07-31 14:43:21.000000+00,2025-07-31 14:43:21.000000+00
39,265,250,2,8,Exhaust fan still noisy after service,,2025-09-27 11:39:33.000000+00,2025-09-27 11:39:33.000000+00
40,280,265,2,7,Power socket using low-quality parts,,2025-10-13 11:16:42.000000+00,2025-10-13 11:16:42.000000+00
41,282,267,2,9,Wall crack reappearing,,2025-08-26 14:48:21.000000+00,2025-08-26 14:48:21.000000+00
42,284,269,2,8,Chiller vibration returned worse,https://ik.imagekit.io/facility/complaints/284.jpg,2025-09-03 15:46:09.000000+00,2025-09-03 15:46:09.000000+00
43,287,272,2,6,Tiles cracked again at same spot,https://ik.imagekit.io/facility/complaints/287.jpg,2025-10-19 13:24:00.000000+00,2025-10-19 13:24:00.000000+00
44,304,288,3,10,Chiller vibration returned worse,https://ik.imagekit.io/facility/complaints/304.jpg,2024-11-19 09:56:00.000000+00,2024-11-19 09:56:00.000000+00
45,310,294,3,6,Water heater still not producing hot water,https://ik.imagekit.io/facility/complaints/310.jpg,2025-10-11 14:36:40.000000+00,2025-10-11 14:36:40.000000+00
46,346,330,3,10,Network still dropping intermittently,,2025-12-27 16:02:32.000000+00,2025-12-27 16:02:32.000000+00
47,358,342,1,6,Drainage still backing up after cleaning,https://ik.imagekit.io/facility/complaints/358.jpg,2024-08-17 16:11:18.000000+00,2024-08-17 16:11:18.000000+00
48,394,378,1,10,Coolant leak not fully sealed,https://ik.imagekit.io/facility/complaints/394.jpg,2025-10-27 11:50:45.000000+00,2025-10-27 11:50:45.000000+00
49,420,404,2,9,"Window sealing incomplete, still leaking",https://ik.imagekit.io/facility/complaints/420.jpg,2025-11-27 11:00:45.000000+00,2025-11-27 11:00:45.000000+00
50,433,417,2,10,Same circuit breaker tripping within hours,https://ik.imagekit.io/facility/complaints/433.jpg,2025-10-31 10:12:53.000000+00,2025-10-31 10:12:53.000000+00
51,436,420,2,8,"Pipe repair looks patchy, leaking again",,2025-12-31 13:20:44.000000+00,2025-12-31 13:20:44.000000+00
52,441,425,2,9,Exterior paint fading prematurely,https://ik.imagekit.io/facility/complaints/441.jpg,2025-10-25 11:35:59.000000+00,2025-10-25 11:35:59.000000+00
53,451,435,2,10,Distribution board still humming,https://ik.imagekit.io/facility/complaints/451.jpg,2026-01-03 15:35:23.000000+00,2026-01-03 15:35:23.000000+00
