"id","user_id","issue_id","role_in_chat","message","attachments","created_at","updated_at","session_id"
"1","1","1","USER","pipe broken in vepery site need to fix in 5 days","[]","2026-01-31 10:25:13.703505+00","2026-03-10 09:15:06.327997+00","11"
"2",,"1","AI","✅ Issue #1 created: 'Pipe Leakage'. Solver Ramesh assigned.","[]","2026-01-31 10:25:16.703505+00","2026-03-10 09:15:06.327997+00","11"
"3","2","2","USER","electrical panel fault in ambattur, urgent","[]","2026-02-03 09:25:13.703505+00","2026-03-10 09:15:06.327997+00","14"
"4",,"2","AI","✅ Issue #2 created: 'Electrical Panel Fault'. Priority: HIGH.","[]","2026-02-03 09:25:16.703505+00","2026-03-10 09:15:06.327997+00","14"
"5","1","3","USER","AC not cooling in guindy factory","[]","2026-02-01 08:25:13.703505+00","2026-03-10 09:15:06.327997+00","8"
"6",,"3","AI","✅ Issue #3 created: 'AC Unit Not Cooling'. Solver Mohan assigned.","[]","2026-02-01 08:25:16.703505+00","2026-03-10 09:15:06.327997+00","8"
"7","3","4","USER","broken window in perungudi conference room","[]","2026-02-05 07:25:13.703505+00","2026-03-10 09:15:06.327997+00","6"
"8",,"4","AI","✅ Issue #4 created: 'Broken Window'. Solver Kavitha assigned.","[]","2026-02-05 07:25:16.703505+00","2026-03-10 09:15:06.327997+00","6"
"9","1","5","USER","network switch down in taramani, critical!","[]","2026-02-04 06:25:13.703505+00","2026-03-10 09:15:06.327997+00","13"
"10",,"5","AI","✅ Issue #5 created: 'Network Switch Failure'. Priority: HIGH.","[]","2026-02-04 06:25:16.703505+00","2026-03-10 09:15:06.327997+00","13"
"11","6","26","USER","Started ceiling water stain repair","[]","2026-02-18 04:25:13.703505+00","2026-03-10 09:15:06.327997+00","17"
"12",,"26","AI","✅ Issue #26 updated to IN_PROGRESS.","[]","2026-02-18 04:25:15.703505+00","2026-03-10 09:15:06.327997+00","17"
"13","7","27","USER","Working on power socket replacement","[]","2026-02-18 03:25:13.703505+00","2026-03-10 09:15:06.327997+00","19"
"14",,"27","AI","✅ Issue #27 updated to IN_PROGRESS.","[]","2026-02-18 03:25:15.703505+00","2026-03-10 09:15:06.327997+00","19"
"15","8","28","USER","Inspecting chiller vibration","[]","2026-02-18 02:25:13.703505+00","2026-03-10 09:15:06.327997+00","9"
"16",,"28","AI","✅ Issue #28 updated to IN_PROGRESS.","[]","2026-02-18 02:25:15.703505+00","2026-03-10 09:15:06.327997+00","9"
"17","9","29","USER","Started handrail repair","[]","2026-02-18 01:25:13.703505+00","2026-03-10 09:15:06.327997+00","4"
"18",,"29","AI","✅ Issue #29 updated to IN_PROGRESS.","[]","2026-02-18 01:25:15.703505+00","2026-03-10 09:15:06.327997+00","4"
"19","10","30","USER","Replacing WiFi access point","[]","2026-02-18 00:25:13.703505+00","2026-03-10 09:15:06.327997+00","7"
"20",,"30","AI","✅ Issue #30 updated to IN_PROGRESS.","[]","2026-02-18 00:25:15.703505+00","2026-03-10 09:15:06.327997+00","7"
"21","1","76","USER","work not done properly, still leaking","[]","2026-02-19 06:25:13.703505+00","2026-03-10 09:15:06.327997+00","12"
"22",,"76","AI","⚠️ Complaint filed for Issue #76. Reopened.","[]","2026-02-19 06:25:16.703505+00","2026-03-10 09:15:06.327997+00","12"
"23","2","77","USER","electrical short is back again","[]","2026-02-19 05:25:13.703505+00","2026-03-10 09:15:06.327997+00","3"
"24",,"77","AI","⚠️ Complaint filed for Issue #77. Reopened.","[]","2026-02-19 05:25:16.703505+00","2026-03-10 09:15:06.327997+00","3"
