id,site_id,raised_by_supervisor_id,title,description,priority,deadline_at,status,track_status,latitude,longitude,created_at,updated_at
93,1,1,CCTV Camera Realignment,"CCTV camera in Vepery entrance moved, blind spot created",MEDIUM,2024-01-24 12:14:08.000000+00,COMPLETED,resolved,13.08419282,80.26976953,2024-01-19 12:14:08.000000+00,2024-01-28 12:14:08.000000+00
94,1,1,Air Compressor Servicing,Annual service for air compressor in Vepery workshop,LOW,2024-02-07 13:29:33.000000+00,COMPLETED,resolved,13.083587,80.26931632,2024-02-02 13:29:33.000000+00,2024-02-06 13:29:33.000000+00
95,1,1,Window Sealing Work,"Window frames in Vepery showing gaps, rain ingress reported",MEDIUM,2024-02-08 08:46:56.000000+00,COMPLETED,resolved,13.08330568,80.27052502,2024-02-03 08:46:56.000000+00,2024-02-09 08:46:56.000000+00
96,1,1,Network Switch Failure,Core network switch in Vepery server room lost connectivity,HIGH,2024-02-10 13:49:59.000000+00,COMPLETED,resolved,13.08311585,80.27075602,2024-02-05 13:49:59.000000+00,2024-02-11 13:49:59.000000+00
97,1,1,Motor Bearing Replacement,"Motor bearings in Vepery pump room worn, vibration high",HIGH,2024-02-18 17:05:46.000000+00,ESCALATED,active,13.08474487,80.26984628,2024-02-07 17:05:46.000000+00,2025-08-01 17:05:46.000000+00
98,1,1,Stairwell Handrail Loose,Handrail in Vepery stairwell loose at wall anchor points,HIGH,2024-03-02 10:34:48.000000+00,IN_PROGRESS,active,13.08390297,80.26949581,2024-02-17 10:34:48.000000+00,2025-07-31 10:34:48.000000+00
99,1,1,WiFi Access Point Replacement,Access point in Vepery floor not broadcasting SSID,HIGH,2024-03-27 09:01:37.000000+00,RESOLVED_PENDING_REVIEW,active,13.08471927,80.26914171,2024-03-13 09:01:37.000000+00,2024-04-15 09:01:37.000000+00
100,1,1,Cable Tray Installation,New cable tray needed in Vepery for additional power feeds,LOW,2024-03-31 11:42:31.000000+00,RESOLVED_PENDING_REVIEW,active,13.08461499,80.26938082,2024-03-18 11:42:31.000000+00,2025-07-16 11:42:31.000000+00
101,1,1,Air Compressor Servicing,Air compressor in Vepery workshop due for 6-month service,LOW,2024-03-26 09:27:22.000000+00,COMPLETED,resolved,13.08312123,80.27045643,2024-03-22 09:27:22.000000+00,2024-03-25 09:27:22.000000+00
102,1,1,UPS Battery Replacement,UPS in Vepery server room battery capacity degraded,HIGH,2024-03-31 15:06:15.000000+00,IN_PROGRESS,active,13.08388626,80.2707227,2024-03-25 15:06:15.000000+00,2024-06-11 15:06:15.000000+00
103,1,1,UPS Firmware Update,UPS management card in Vepery server room needs firmware update,LOW,2024-04-04 13:03:41.000000+00,IN_PROGRESS,active,13.08342749,80.26980208,2024-03-28 13:03:41.000000+00,2025-08-03 13:03:41.000000+00
104,1,1,Roller Shutter Repair Vepery,Roller shutter in Vepery warehouse stuck halfway,HIGH,2024-05-19 09:24:00.000000+00,COMPLETED,resolved,13.08359342,80.27093742,2024-05-07 09:24:00.000000+00,2024-05-20 09:24:00.000000+00
105,1,1,Wooden Door Frame Repair,"Door frame in Vepery office warped, door not closing properly",HIGH,2024-05-24 13:34:03.000000+00,ESCALATED,active,13.08316022,80.26937165,2024-05-13 13:34:03.000000+00,2025-10-16 13:34:03.000000+00
106,1,1,Earthing System Check,Earthing resistance in Vepery measured high during routine test,LOW,2024-05-31 13:43:55.000000+00,COMPLETED,resolved,13.08383845,80.27016734,2024-05-18 13:43:55.000000+00,2024-05-30 13:43:55.000000+00
107,1,1,Lift Motor Overheating,"Lift motor in Vepery running hot, thermal trip activating",HIGH,2024-06-18 13:59:16.000000+00,COMPLETED,resolved,13.08363235,80.27050373,2024-06-08 13:59:16.000000+00,2024-06-23 13:59:16.000000+00
108,1,1,Network Switch Failure,Core network switch in Vepery server room lost connectivity,HIGH,2024-06-27 09:29:39.000000+00,ESCALATED,active,13.08476173,80.27075854,2024-06-15 09:29:39.000000+00,2025-06-08 09:29:39.000000+00
109,1,1,Wall Waterproofing Treatment,Damp patch on Vepery wall needs waterproofing treatment,MEDIUM,2024-07-01 12:10:28.000000+00,COMPLETED,resolved,13.08486351,80.26920717,2024-06-17 12:10:28.000000+00,2024-07-03 12:10:28.000000+00
110,1,1,Roof Waterproofing,"Waterproofing membrane degraded on Vepery roof, seepage observed",HIGH,2024-07-05 16:16:07.000000+00,COMPLETED,resolved,13.08401082,80.26950224,2024-06-22 16:16:07.000000+00,2024-07-07 16:16:07.000000+00
111,1,1,False Ceiling Repair,False ceiling tiles in Vepery showing sagging and water stains,HIGH,2024-07-02 16:03:05.000000+00,COMPLETED,resolved,13.08448246,80.27010336,2024-06-23 16:03:05.000000+00,2024-07-02 16:03:05.000000+00
112,1,1,Roof Waterproofing,"Waterproofing membrane degraded on Vepery roof, seepage observed",MEDIUM,2024-07-04 12:00:07.000000+00,COMPLETED,resolved,13.08308366,80.2697293,2024-06-25 12:00:07.000000+00,2024-07-04 12:00:07.000000+00
