"id","issue_id","assignment_id","raised_by_supervisor_id","target_solver_id","complaint_details","complaint_image_url","created_at","updated_at"
"1","76","61","1","6","Pipe joint still leaking after repair","https://ik.imagekit.io/facility/complaints/76.jpg","2026-02-19 10:25:13.703505+00","2026-02-19 10:25:13.703505+00"
"2","77","62","2","7","Same circuit breaker tripping within hours",,"2026-02-19 09:25:13.703505+00","2026-02-19 09:25:13.703505+00"
"3","78","63","3","8","Water heater still not producing hot water","https://ik.imagekit.io/facility/complaints/78.jpg","2026-02-19 08:25:13.703505+00","2026-02-19 08:25:13.703505+00"
"4","79","64","3","9","Boundary wall crack widened after sealing","https://ik.imagekit.io/facility/complaints/79.jpg","2026-02-19 07:25:13.703505+00","2026-02-19 07:25:13.703505+00"
"5","80","65","1","10","Irrigation pipe leaking again at same joint",,"2026-02-19 06:25:13.703505+00","2026-02-19 06:25:13.703505+00"
"6","81","66","2","6","Chiller vibration returned worse than before","https://ik.imagekit.io/facility/complaints/81.jpg","2026-02-19 05:25:13.703505+00","2026-02-19 05:25:13.703505+00"
"7","82","67","2","7","Shutter motor burned out again within one week",,"2026-02-19 04:25:13.703505+00","2026-02-19 04:25:13.703505+00"
"8","83","68","2","8","Forklift hydraulic leak persists","https://ik.imagekit.io/facility/complaints/83.jpg","2026-02-19 03:25:13.703505+00","2026-02-19 03:25:13.703505+00"
"9","84","69","3","9","Lift non-functional for 3 days, no response","https://ik.imagekit.io/facility/complaints/84.jpg","2026-02-19 02:25:13.703505+00","2026-02-19 02:25:13.703505+00"
"10","85","70","3","10","Chemical storage ventilation still down",,"2026-02-19 01:25:13.703505+00","2026-02-19 01:25:13.703505+00"
"11","86","71","2","6","Transformer still overheating","https://ik.imagekit.io/facility/complaints/86.jpg","2026-02-19 00:25:13.703505+00","2026-02-19 00:25:13.703505+00"
"12","87","72","2","7","Basement still flooding",,"2026-02-18 23:25:13.703505+00","2026-02-18 23:25:13.703505+00"
"13","88","73","3","8","Production line still down","https://ik.imagekit.io/facility/complaints/88.jpg","2026-02-18 22:25:13.703505+00","2026-02-18 22:25:13.703505+00"
"14","89","74","3","9","Fire suppression system still faulty",,"2026-02-18 21:25:13.703505+00","2026-02-18 21:25:13.703505+00"
"15","90","75","2","10","Welding gas leak not fully sealed","https://ik.imagekit.io/facility/complaints/90.jpg","2026-02-18 20:25:13.703505+00","2026-02-18 20:25:13.703505+00"
"16","1","1","1","6","Pipe repair looks patchy",,"2026-02-18 19:25:13.703505+00","2026-02-18 19:25:13.703505+00"
"17","2","2","2","7","Electrical panel cover not secured","https://ik.imagekit.io/facility/complaints/2.jpg","2026-02-18 18:25:13.703505+00","2026-02-18 18:25:13.703505+00"
"18","5","5","3","10","Network still dropping intermittently",,"2026-02-18 17:25:13.703505+00","2026-02-18 17:25:13.703505+00"
"19","10","10","2","10","Fire alarm sensor response slow","https://ik.imagekit.io/facility/complaints/10.jpg","2026-02-18 16:25:13.703505+00","2026-02-18 16:25:13.703505+00"
"20","15","15","3","10","Water pump still making noise",,"2026-02-18 15:25:13.703505+00","2026-02-18 15:25:13.703505+00"
"21","27","27","2","7","Power socket using low-quality parts","https://ik.imagekit.io/facility/complaints/27.jpg","2026-02-18 14:25:13.703505+00","2026-02-18 14:25:13.703505+00"
"22","30","30","1","10","Handrail repair not following standards",,"2026-02-18 13:25:13.703505+00","2026-02-18 13:25:13.703505+00"
"23","35","35","1","10","Forklift repair taking too long","https://ik.imagekit.io/facility/complaints/35.jpg","2026-02-18 12:25:13.703505+00","2026-02-18 12:25:13.703505+00"
"24","37","37","3","7","Transformer work seems rushed",,"2026-02-18 11:25:13.703505+00","2026-02-18 11:25:13.703505+00"
"25","68","53","2","8","Boiler pressure gauge reading off","https://ik.imagekit.io/facility/complaints/68.jpg","2026-02-18 10:25:13.703505+00","2026-02-18 10:25:13.703505+00"
"26","70","55","1","10","UPS battery backup time decreased",,"2026-02-18 09:25:13.703505+00","2026-02-18 09:25:13.703505+00"
"27","71","56","2","6","Crane rope inspection report incomplete","https://ik.imagekit.io/facility/complaints/71.jpg","2026-02-18 08:25:13.703505+00","2026-02-18 08:25:13.703505+00"
"28","73","58","1","8","Switch config causing intermittent drops",,"2026-02-18 07:25:13.703505+00","2026-02-18 07:25:13.703505+00"
"29","74","59","2","9","Motor bearings alignment off","https://ik.imagekit.io/facility/complaints/74.jpg","2026-02-18 06:25:13.703505+00","2026-02-18 06:25:13.703505+00"
"30","75","60","3","10","Fan speed control making humming noise",,"2026-02-18 05:25:13.703505+00","2026-02-18 05:25:13.703505+00"
