"id","site_id","raised_by_supervisor_id","title","description","priority","deadline_at","status","track_status","latitude","longitude","created_at","updated_at"
"1","1","1","Pipe Leakage in Main Hall","Major water leak from ceiling pipe joint in main hall affecting work area","HIGH","2026-02-10 10:25:13.703505+00","COMPLETED","resolved","13.00000000","80.20000000","2026-01-31 10:25:13.703505+00","2026-02-11 10:25:13.703505+00"
"2","2","2","Electrical Panel Fault Block-B","Panel B3 showing intermittent failures and tripping breakers","HIGH","2026-02-20 10:25:13.703505+00","COMPLETED","resolved","13.00300000","80.20200000","2026-02-03 09:25:13.703505+00","2026-03-11 11:51:58.280714+00"
"3","3","1","AC Unit Not Cooling Properly","Central AC in Block A not maintaining set temperature of 24°C","MEDIUM","2026-02-18 10:25:13.703505+00","COMPLETED","resolved","13.00600000","80.20400000","2026-02-01 08:25:13.703505+00","2026-03-11 12:10:11.134718+00"
"4","5","1","Network Switch Failure","Core network switch in server room lost connectivity","HIGH","2026-02-22 10:25:13.703505+00","COMPLETED","resolved","13.00900000","80.20600000","2026-02-05 07:25:13.703505+00","2026-03-11 12:01:56.569837+00"
"5","4","3","Broken Window Conference Room","Glass cracked in 3rd floor conference room posing safety hazard","MEDIUM","2026-02-14 10:25:13.703505+00","COMPLETED","resolved","13.01200000","80.20800000","2026-02-04 06:25:13.703505+00","2026-02-15 10:25:13.703505+00"
"6","7","3","Generator Annual Maintenance","Yearly maintenance check and oil change for backup generator","MEDIUM","2026-02-05 10:25:13.703505+00","COMPLETED","resolved","13.01500000","80.21000000","2026-01-26 05:25:13.703505+00","2026-02-06 10:25:13.703505+00"
"7","8","3","Bathroom Tiles Replacement","Cracked tiles in ground floor men's restroom need replacement","LOW","2026-02-07 10:25:13.703505+00","COMPLETED","resolved","13.01800000","80.21200000","2026-01-28 04:25:13.703505+00","2026-02-08 10:25:13.703505+00"
"8","9","3","Parking Lot Light Repair","Three parking lot lights not functioning in Zone B","LOW","2026-02-09 10:25:13.703505+00","COMPLETED","resolved","13.02100000","80.21400000","2026-01-30 03:25:13.703505+00","2026-02-10 10:25:13.703505+00"
"9","10","1","Fire Alarm System Test","Quarterly fire alarm system inspection and testing","HIGH","2026-02-17 10:25:13.703505+00","COMPLETED","resolved","13.02400000","80.21600000","2026-02-07 02:25:13.703505+00","2026-02-18 10:25:13.703505+00"
"10","13","2","HVAC Duct Cleaning","Annual cleaning of HVAC ducts in Building C","LOW","2026-01-31 10:25:13.703505+00","COMPLETED","resolved","13.02700000","80.21800000","2026-01-21 01:25:13.703505+00","2026-02-01 10:25:13.703505+00"
"11","14","1","Office Wall Painting","Repainting of reception area walls showing wear","LOW","2026-02-03 10:25:13.703505+00","COMPLETED","resolved","13.03000000","80.22000000","2026-01-24 00:25:13.703505+00","2026-02-04 10:25:13.703505+00"
"12","15","1","Water Pump Motor Repair","Main water pump motor making unusual grinding noise","HIGH","2026-02-18 10:25:13.703505+00","COMPLETED","resolved","13.03300000","80.22200000","2026-02-07 23:25:13.703505+00","2026-02-19 10:25:13.703505+00"
"13","6","2","Roof Waterproofing","Roof leaking during monsoon in warehouse section","MEDIUM","2026-02-12 10:25:13.703505+00","COMPLETED","resolved","13.03600000","80.22400000","2026-02-02 10:25:13.703505+00","2026-02-13 10:25:13.703505+00"
"14","11","2","UPS Battery Replacement","UPS system showing low battery warning for server rack","HIGH","2026-02-19 10:25:13.703505+00","COMPLETED","resolved","13.03900000","80.22600000","2026-02-09 09:25:13.703505+00","2026-02-20 10:25:13.703505+00"
"15","12","3","Door Lock Replacement","Main entrance electronic lock malfunctioning","MEDIUM","2026-02-16 10:25:13.703505+00","COMPLETED","resolved","13.04200000","80.22800000","2026-02-06 08:25:13.703505+00","2026-02-17 10:25:13.703505+00"
"16","16","1","Plumbing Valve Repair Cafeteria","Hot water valve leaking in staff cafeteria kitchen","MEDIUM","2026-02-15 10:25:13.703505+00","COMPLETED","resolved","13.04500000","80.23000000","2026-02-05 07:25:13.703505+00","2026-02-16 10:25:13.703505+00"
"17","17","2","Intercom System Repair","Intercom between floors 2 and 3 not working","LOW","2026-02-10 10:25:13.703505+00","COMPLETED","resolved","13.04800000","80.23200000","2026-01-31 06:25:13.703505+00","2026-02-11 10:25:13.703505+00"
"18","18","2","Emergency Light Check","Monthly emergency lighting inspection","MEDIUM","2026-02-13 10:25:13.703505+00","COMPLETED","resolved","13.05100000","80.23400000","2026-02-03 05:25:13.703505+00","2026-02-14 10:25:13.703505+00"
